year_bought,km_driven,transmission,owner,selling_price
2007,70000,Manual,First Owner,60000
2007,50000,Manual,First Owner,135000
2012,100000,Manual,First Owner,600000
2017,46000,Manual,First Owner,250000
2014,141000,Manual,Second Owner,450000
2007,125000,Manual,First Owner,140000
2016,25000,Manual,First Owner,550000
2014,60000,Manual,Second Owner,240000
2015,25000,Manual,First Owner,850000
2017,78000,Manual,First Owner,365000
2015,35000,Manual,First Owner,260000
2014,100000,Manual,First Owner,250000
2018,25000,Automatic,First Owner,1650000
2007,70000,Manual,First Owner,60000
2007,50000,Manual,First Owner,135000
2012,100000,Manual,First Owner,600000
2017,46000,Manual,First Owner,250000
2014,141000,Manual,Second Owner,450000
2007,125000,Manual,First Owner,140000
2016,25000,Manual,First Owner,550000
2014,60000,Manual,Second Owner,240000
2015,25000,Manual,First Owner,850000
2017,78000,Manual,First Owner,365000
2015,35000,Manual,First Owner,260000
2014,100000,Manual,First Owner,250000
2018,25000,Automatic,First Owner,1650000
2015,24000,Manual,First Owner,585000
2019,5000,Manual,First Owner,1195000
2013,33000,Manual,Second Owner,390000
2014,28000,Automatic,First Owner,1964999
2013,59000,Automatic,First Owner,1425000
2018,4500,Automatic,First Owner,975000
2011,175900,Automatic,First Owner,1190000
2018,14500,Manual,First Owner,930000
2018,15000,Manual,First Owner,525000
2013,50000,Automatic,First Owner,1735000
2012,33800,Automatic,Second Owner,1375000
2011,130400,Automatic,Second Owner,450000
2016,50000,Automatic,First Owner,900000
2015,80000,Manual,First Owner,1300000
2019,10000,Manual,First Owner,1400000
2010,119000,Automatic,First Owner,850000
2014,60000,Manual,Fourth & Above Owner,229999
2013,75800,Automatic,Second Owner,1550000
2009,78000,Automatic,Third Owner,1250000
2012,40000,Manual,First Owner,625000
2014,50000,Manual,First Owner,1050000
2014,74000,Manual,Second Owner,560000
2014,64000,Manual,Second Owner,290000
2012,60000,Manual,Second Owner,275000
2009,120000,Manual,Second Owner,411000
2009,79000,Manual,Third Owner,150000
2019,15000,Manual,First Owner,500000
2006,80000,Manual,First Owner,100000
2017,18500,Manual,First Owner,725000
2018,10200,Manual,First Owner,401000
2018,29000,Manual,First Owner,750000
2018,28000,Manual,First Owner,310000
2016,46000,Manual,First Owner,665000
2014,70000,Manual,First Owner,465000
2012,60000,Manual,Second Owner,160000
1996,35000,Manual,Second Owner,250000
2014,90000,Manual,First Owner,675000
2013,80000,Manual,First Owner,300000
2005,80000,Manual,First Owner,70000
2014,73300,Manual,Second Owner,240000
2014,92000,Manual,First Owner,525000
2009,66764,Manual,Second Owner,151000
2009,100000,Manual,First Owner,140000
2010,350000,Manual,Second Owner,280000
2011,230000,Manual,First Owner,350000
2017,60000,Manual,First Owner,570000
2018,31000,Manual,First Owner,300000
2007,39000,Manual,First Owner,100000
2009,120000,Manual,Third Owner,500000
2014,166000,Manual,Fourth & Above Owner,125000
2006,110000,Manual,Third Owner,130000
2017,35000,Manual,First Owner,925000
2018,60000,Manual,First Owner,750000
2007,54000,Automatic,Second Owner,200000
2010,63000,Manual,Second Owner,248000
2014,120000,Manual,Second Owner,450000
2005,120000,Manual,Third Owner,80000
2014,76000,Manual,Second Owner,650000
2015,80000,Manual,First Owner,450000
2019,25000,Manual,First Owner,650000
2016,11958,Manual,First Owner,495000
2015,20000,Manual,First Owner,371000
2017,9000,Manual,First Owner,1025000
2017,6500,Automatic,First Owner,8150000
2015,70000,Manual,First Owner,750000
2013,120000,Manual,First Owner,600000
2007,58000,Manual,Second Owner,80000
2013,62200,Manual,First Owner,325000
2014,34000,Automatic,Second Owner,1470000
2015,53000,Manual,Second Owner,350000
2013,49000,Automatic,First Owner,2800000
2017,15000,Manual,Second Owner,210000
2013,50000,Manual,First Owner,450000
2013,53000,Automatic,First Owner,1150000
2009,63500,Automatic,First Owner,210000
2018,9800,Automatic,First Owner,4500000
2017,13000,Automatic,First Owner,2750000
2018,21000,Automatic,First Owner,1975000
2008,29173,Manual,First Owner,175000
2012,48000,Automatic,First Owner,2500000
2017,120000,Manual,First Owner,628000
2010,100000,Manual,First Owner,600000
2017,30000,Manual,First Owner,399000
2018,87000,Manual,First Owner,750000
2019,15000,Manual,First Owner,750000
2017,16000,Manual,First Owner,315000
2012,60000,Manual,First Owner,600000
2010,60000,Manual,Fourth & Above Owner,100000
2011,110000,Manual,Third Owner,250000
2017,25000,Manual,First Owner,350000
2016,60000,Manual,First Owner,780000
2014,79350,Manual,Second Owner,434000
2016,80000,Automatic,First Owner,690000
2014,90000,Manual,Second Owner,555000
2007,90000,Manual,Second Owner,120000
2014,120000,Manual,Second Owner,500000
2013,60000,Manual,Second Owner,165000
2004,50000,Manual,First Owner,95000
2018,20000,Manual,First Owner,550000
2007,110000,Manual,Fourth & Above Owner,100000
2012,50000,Manual,Second Owner,100000
2012,100000,Manual,First Owner,500000
2016,70000,Manual,Second Owner,800000
2016,70000,Manual,Second Owner,840000
2016,50000,Manual,First Owner,490000
2010,81000,Manual,Second Owner,125000
2012,120000,Manual,Third Owner,400000
2015,3600,Manual,First Owner,1000000
2015,14272,Manual,First Owner,530000
2017,49213,Manual,First Owner,840000
2015,40000,Manual,First Owner,229999
1998,40000,Manual,Fourth & Above Owner,40000
2012,80000,Manual,First Owner,130000
2015,70000,Manual,First Owner,200000
2011,70000,Manual,First Owner,120000
2003,57000,Manual,First Owner,75000
2016,120000,Manual,First Owner,250000
2005,30000,Manual,First Owner,100000
2013,3240,Manual,Second Owner,280000
2015,5000,Manual,First Owner,540000
2018,10000,Manual,First Owner,700000
2015,100000,Manual,First Owner,525000
2016,80000,Manual,First Owner,430000
2002,70000,Manual,First Owner,65000
2018,35000,Manual,First Owner,800000
2007,114000,Manual,Second Owner,75000
2008,53772,Manual,First Owner,210000
2012,140000,Manual,Second Owner,195000
2015,120000,Manual,First Owner,400000
2012,60000,Manual,First Owner,170000
2016,25000,Manual,First Owner,225000
2014,90000,Manual,First Owner,210000
2020,120000,Manual,First Owner,240000
2015,175000,Manual,First Owner,300000
2011,100000,Manual,Third Owner,99000
2014,36000,Manual,First Owner,620000
2013,30000,Manual,First Owner,500000
2010,40000,Automatic,Second Owner,2550000
2013,70000,Manual,Second Owner,260000
2017,60000,Manual,First Owner,550000
2011,155500,Manual,First Owner,150000
2011,50000,Automatic,Second Owner,350000
2016,40000,Manual,First Owner,320000
2015,100000,Manual,Third Owner,400000
2012,80000,Manual,Third Owner,175000
2011,90000,Manual,Second Owner,120000
2013,90000,Manual,Second Owner,320000
2006,110000,Manual,Third Owner,70000
2019,15000,Manual,First Owner,810000
2007,100000,Manual,Second Owner,95000
2020,40000,Manual,First Owner,282000
2004,60000,Manual,Second Owner,80000
2013,25000,Manual,First Owner,72000
2016,25000,Manual,First Owner,600000
2015,23000,Manual,First Owner,640000
2018,22155,Manual,First Owner,380000
2018,70000,Manual,First Owner,650000
2009,60000,Manual,Second Owner,150000
2009,110000,Manual,Second Owner,280000
2018,30000,Manual,First Owner,430000
2019,15000,Manual,First Owner,800000
2003,100000,Manual,Second Owner,75000
2016,70000,Automatic,First Owner,650000
2017,24000,Manual,First Owner,390000
2005,120000,Manual,Second Owner,100000
2013,35000,Automatic,First Owner,1500000
2007,78380,Manual,First Owner,175000
2012,110000,Manual,Second Owner,434999
2010,90000,Manual,Third Owner,170000
2011,90000,Manual,Third Owner,190000
2009,150000,Manual,Third Owner,250000
2009,230000,Manual,Third Owner,229999
2006,70000,Manual,Third Owner,140000
2017,80362,Manual,First Owner,600000
2012,110000,Manual,Third Owner,280000
2012,60000,Manual,First Owner,150000
2015,50000,Automatic,First Owner,650000
2014,40000,Manual,Second Owner,210000
2017,40000,Automatic,First Owner,2900000
2013,20000,Manual,First Owner,425000
2014,55000,Manual,First Owner,265000
2018,1136,Manual,First Owner,890000
2013,55000,Manual,First Owner,365000
2014,43000,Manual,First Owner,350000
2016,60000,Manual,First Owner,685000
2018,2650,Manual,First Owner,940000
2017,40000,Manual,First Owner,1000000
2019,15000,Manual,First Owner,1150000
2016,115962,Manual,Second Owner,450000
2015,65000,Manual,First Owner,590000
2017,40000,Manual,First Owner,800000
2012,58000,Manual,First Owner,385000
2013,15000,Automatic,First Owner,2000000
2012,54000,Manual,First Owner,235000
2017,56000,Manual,First Owner,640000
2006,120000,Manual,Third Owner,52000
2009,90000,Manual,Second Owner,80000
2012,70000,Manual,Second Owner,140000
2008,90000,Manual,Second Owner,120000
2008,213000,Manual,First Owner,89999
2012,120000,Manual,First Owner,180000
2017,20000,Manual,First Owner,1500000
2017,10000,Manual,First Owner,700000
2012,80000,Manual,Second Owner,285000
2015,90000,Manual,First Owner,390000
2008,80000,Manual,First Owner,125000
2008,60000,Manual,Second Owner,225000
2011,139000,Manual,Second Owner,175000
2011,160000,Manual,Second Owner,1075000
2014,150000,Manual,First Owner,300000
2010,163000,Manual,Fourth & Above Owner,700000
2009,120000,Manual,First Owner,90000
2011,120000,Manual,Second Owner,120000
2012,100000,Manual,Second Owner,220000
2015,140000,Manual,First Owner,300000
2010,87000,Manual,Second Owner,180000
2013,70000,Manual,First Owner,170000
2015,50000,Manual,Second Owner,300000
2014,70000,Manual,First Owner,1050000
2014,150000,Manual,First Owner,300000
2018,25000,Manual,First Owner,465000
2011,80000,Manual,Second Owner,130000
2018,10000,Manual,First Owner,434999
2018,32000,Manual,First Owner,500000
2018,10000,Manual,First Owner,200000
2017,52000,Manual,First Owner,625000
2006,120000,Manual,Third Owner,110000
2019,11240,Manual,First Owner,800000
2017,66000,Manual,First Owner,490000
2017,64000,Manual,First Owner,880000
2013,49000,Manual,First Owner,290000
2006,100000,Manual,Second Owner,115999
2018,26500,Manual,First Owner,360000
2002,100000,Manual,Second Owner,65000
2017,72000,Manual,First Owner,685000
2009,50000,Manual,First Owner,300000
2017,44000,Manual,First Owner,680000
2017,60000,Manual,Second Owner,1000000
2002,120000,Manual,First Owner,100000
2010,130000,Manual,First Owner,160000
2017,70000,Manual,First Owner,450000
2014,20000,Manual,First Owner,600000
2009,60000,Manual,Second Owner,180000
2007,195000,Manual,First Owner,100000
2010,90000,Manual,Second Owner,120000
2006,80000,Manual,Third Owner,130000
2011,155000,Manual,First Owner,160000
2019,35000,Manual,First Owner,860000
2018,20000,Manual,Second Owner,650000
2010,80000,Manual,Second Owner,100000
2017,20000,Manual,First Owner,282000
2009,50000,Manual,First Owner,300000
2010,110000,Manual,Second Owner,270000
2013,29000,Manual,First Owner,550000
2013,120000,Manual,First Owner,450000
2011,70000,Manual,Second Owner,430000
2013,40000,Manual,First Owner,350000
2017,20000,Manual,First Owner,350000
2013,50000,Manual,Second Owner,229999
2013,50000,Manual,First Owner,110000
2012,49000,Manual,Second Owner,395000
2011,70000,Automatic,Second Owner,650000
2011,90000,Manual,Second Owner,350000
2020,25000,Manual,First Owner,1400000
2018,4000,Manual,First Owner,360000
2018,10000,Manual,First Owner,1300000
2015,15000,Manual,First Owner,800000
2018,30000,Manual,First Owner,229999
2014,41000,Manual,First Owner,315000
2012,28000,Manual,First Owner,125000
2019,16000,Manual,First Owner,700000
2015,70000,Manual,First Owner,160000
2017,10832,Manual,First Owner,530000
2018,14681,Manual,First Owner,624000
2009,50000,Manual,First Owner,250000
2016,51000,Manual,First Owner,585000
2015,25000,Manual,First Owner,500000
2014,30000,Manual,First Owner,350000
2014,80000,Manual,First Owner,495000
2017,50000,Manual,First Owner,500000
2015,200000,Manual,First Owner,430000
2013,44000,Manual,First Owner,345000
2015,10000,Manual,First Owner,500000
2019,19600,Manual,First Owner,425000
2005,40000,Manual,Second Owner,80000
2011,50000,Manual,First Owner,106000
2009,46730,Manual,First Owner,180000
2015,40000,Manual,Second Owner,250000
2011,80000,Manual,First Owner,350000
2002,80000,Manual,Second Owner,60000
2018,24000,Manual,First Owner,900000
2017,21170,Manual,First Owner,700000
2013,167223,Automatic,First Owner,2000000
2017,40000,Manual,First Owner,1000000
2011,60000,Automatic,First Owner,1375000
2016,141440,Manual,First Owner,1800000
2007,120000,Manual,Third Owner,160000
2012,140000,Automatic,First Owner,525000
2012,212814,Manual,First Owner,850000
2019,30000,Manual,First Owner,800000
2017,88635,Manual,First Owner,700000
2018,25000,Manual,First Owner,800000
2017,20000,Manual,Second Owner,575000
2012,110000,Manual,Second Owner,350000
2008,120000,Manual,Third Owner,250000
2011,149674,Manual,Second Owner,600000
2007,100000,Manual,Third Owner,370000
2006,120000,Manual,Third Owner,80000
2003,120000,Manual,Second Owner,50000
2018,25000,Manual,First Owner,900000
2014,35000,Manual,Second Owner,300000
2002,40000,Manual,First Owner,125000
2015,60000,Manual,Second Owner,490000
2012,50000,Manual,Second Owner,300000
2013,25000,Manual,Fourth & Above Owner,55000
2016,25000,Manual,First Owner,350000
